,機構代碼,權屬別,機構縣市,機構名稱,機構地址,身心障礙牙科特別門診,身心障礙鑑定醫院,急救責任醫院,24小時急診服務,院區,型態別,機構電話,負責人,身心障礙牙科門診掛號電話,女性整合門診,急診電話,設置科別,病床設施,西醫師,中醫師,牙醫師,藥師,藥劑師,護產人員,職能治療師,職能治療生,醫事檢驗師,醫事檢驗生,物理治療師,物理治療生,醫事放射師,醫事放射生,諮商心理師,臨床心理師,語言治療師,聽力師,呼吸治療師,營養師,特約醫院,全年門診人次,全年住院人次,全年急診人次,平均住院日,醫院評鑑結果,教學醫院評鑑結果,醫院評鑑改善事項數,已改善及改善中項數,改善率
0,936030018.0,醫療社團法人醫院,臺中市,李綜合醫療社團法人大甲李綜合醫院,臺中市大甲區八德街2號,否,是,是,是,本院,綜合醫院,04-26862288,隋善中,否,是,否,"家庭醫學科, 內科, 外科, 兒科, 婦產科, 骨科, 神經科, 神經外科, 泌尿科, 耳鼻喉科, 精神科, 復健科, 麻醉科, 放射診斷科, 解剖病理科, 急診醫學科","{'項次': '1', '病床名稱': '急性一般病床', '病床數': '251'}, {'項次': '2', '病床名稱': '加護病床', '病床數': '21'}, {'項次': '3', '病床名稱': '急診觀察床', '病床數': '6'}, {'項次': '4', '病床名稱': '嬰兒病床', '病床數': '2'}, {'項次': '5', '病床名稱': '手術恢復床', '病床數': '3'}, {'項次': '6', '病床名稱': '嬰兒床', '病床數': '5'}, {'項次': '7', '病床名稱': '血液透析床', '病床數': '22'}, {'項次': '8', '病床名稱': '腹膜透析床', '病床數': '1'}, {'項次': '9', '病床名稱': '手術台', '病床數': '5'}, {'項次': '10', '病床名稱': '產台', '病床數': '1'}, {'項次': '11', '病床名稱': '(門診)診療室', '病床數': '10'}",37,0,0,13,0,171,2,0,27,0,4,2,14,0,0,1,0,0,2,3,區域醫院,117865.0,5338.0,10792.0,8.0,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,12.0,12.0,100%
1,936050029.0,醫療社團法人醫院,臺中市,光田醫療社團法人光田綜合醫院,臺中市沙鹿區沙田路117號（含大同街5-2號）,是,是,是,是,沙鹿總院,綜合醫院,04-26625111,王乃弘,否,是,否,"家庭醫學科, 內科, 外科, 兒科, 婦產科, 骨科, 神經科, 神經外科, 泌尿科, 耳鼻喉科, 眼科, 皮膚科, 精神科, 復健科, 麻醉科, 放射診斷科, 放射腫瘤科, 解剖病理科, 核子醫學科, 急診醫學科, 整形外科, 職業醫學科, 西醫一般科, 牙醫一般科, 中醫一般科","{'項次': '1', '病床名稱': '急性一般病床', '病床數': '445'}, {'項次': '2', '病床名稱': '慢性一般病床', '病床數': '62'}, {'項次': '3', '病床名稱': '加護病床', '病床數': '48'}, {'項次': '4', '病床名稱': '急診觀察床', '病床數': '12'}, {'項次': '5', '病床名稱': '嬰兒病床', '病床數': '10'}, {'項次': '6', '病床名稱': '手術恢復床', '病床數': '6'}, {'項次': '7', '病床名稱': '嬰兒床', '病床數': '10'}, {'項次': '8', '病床名稱': '血液透析床', '病床數': '45'}, {'項次': '9', '病床名稱': '安寧病床', '病床數': '10'}, {'項次': '10', '病床名稱': '亞急性呼吸照護病床', '病床數': '10'}, {'項次': '11', '病床名稱': '慢性呼吸照護病床', '病床數': '40'}, {'項次': '12', '病床名稱': '手術台', '病床數': '12'}, {'項次': '13', '病床名稱': '產台', '病床數': '3'}, {'項次': '14', '病床名稱': '牙科治療室', '病床數': '12'}, {'項次': '15', '病床名稱': '精神科日間照護', '病床數': '30'}, {'項次': '16', '病床名稱': '(門診)診療室', '病床數': '38'}",163,12,1,39,0,572,6,0,44,0,11,3,33,0,0,3,6,3,8,7,,,,,,,,,,
2,936050029.0,醫療社團法人醫院,臺中市,光田醫療社團法人光田綜合醫院,臺中市沙鹿區沙田路117號（含大同街5-2號）,是,是,是,是,大甲院區,綜合醫院,04-26625111,王乃弘,否,是,否,"家庭醫學科, 內科, 外科, 兒科, 婦產科, 骨科, 神經科, 神經外科, 泌尿科, 耳鼻喉科, 眼科, 皮膚科, 精神科, 復健科, 麻醉科, 放射診斷科, 解剖病理科, 核子醫學科, 急診醫學科, 整形外科, 西醫一般科, 牙醫一般科","{'項次': '1', '病床名稱': '急性一般病床', '病床數': '300'}, {'項次': '2', '病床名稱': '精神急性一般病床', '病床數': '50'}, {'項次': '3', '病床名稱': '加護病床', '病床數': '37'}, {'項次': '4', '病床名稱': '急診觀察床', '病床數': '9'}, {'項次': '5', '病床名稱': '嬰兒病床', '病床數': '6'}, {'項次': '6', '病床名稱': '手術恢復床', '病床數': '6'}, {'項次': '7', '病床名稱': '嬰兒床', '病床數': '10'}, {'項次': '8', '病床名稱': '血液透析床', '病床數': '33'}, {'項次': '9', '病床名稱': '手術台', '病床數': '9'}, {'項次': '10', '病床名稱': '產台', '病床數': '4'}, {'項次': '11', '病床名稱': '(門診)診療室', '病床數': '24'}",66,0,2,25,0,347,5,1,15,0,7,1,16,0,0,6,2,1,6,5,,,,,,,,,,
3,936060016.0,醫療社團法人醫院,臺中市,童綜合醫療社團法人童綜合醫院,臺中市梧棲區臺灣大道八段699號,是,是,是,是,梧棲院區,綜合醫院,04-26581919,童瑞年,否,是,否,"家庭醫學科, 內科, 外科, 兒科, 婦產科, 骨科, 神經科, 神經外科, 泌尿科, 耳鼻喉科, 眼科, 皮膚科, 精神科, 復健科, 麻醉科, 放射診斷科, 放射腫瘤科, 解剖病理科, 臨床病理科, 核子醫學科, 急診醫學科, 整形外科, 職業醫學科, 西醫一般科, 牙醫一般科, 家庭牙醫科, 兒童牙科, 齒顎矯正科, 中醫一般科","{'項次': '1', '病床名稱': '急性一般病床', '病床數': '702'}, {'項次': '2', '病床名稱': '負壓隔離病床', '病床數': '2'}, {'項次': '3', '病床名稱': '加護病床', '病床數': '90'}, {'項次': '4', '病床名稱': '急診觀察床', '病床數': '30'}, {'項次': '5', '病床名稱': '其它觀察病床', '病床數': '10'}, {'項次': '6', '病床名稱': '嬰兒病床', '病床數': '20'}, {'項次': '7', '病床名稱': '手術恢復床', '病床數': '16'}, {'項次': '8', '病床名稱': '嬰兒床', '病床數': '20'}, {'項次': '9', '病床名稱': '血液透析床', '病床數': '54'}, {'項次': '10', '病床名稱': '亞急性呼吸照護病床', '病床數': '20'}, {'項次': '11', '病床名稱': '燒傷加護病床', '病床數': '10'}, {'項次': '12', '病床名稱': '手術台', '病床數': '31'}, {'項次': '13', '病床名稱': '產台', '病床數': '2'}, {'項次': '14', '病床名稱': '(門診)診療室', '病床數': '67'}, {'項次': '15', '病床名稱': '牙醫治療台', '病床數': '23'}",296,1,15,69,0,1364,6,0,77,1,15,0,79,0,2,3,2,3,17,15,,,,,,,,,,
4,936060016.0,醫療社團法人醫院,臺中市,童綜合醫療社團法人童綜合醫院,臺中市梧棲區臺灣大道八段699號,是,是,是,是,沙鹿院區,綜合醫院,04-26581919,童瑞年,否,是,否,"內科, 精神科, 復健科, 中醫一般科","{'項次': '1', '病床名稱': '精神急性一般病床', '病床數': '28'}, {'項次': '2', '病床名稱': '慢性一般病床', '病床數': '100'}, {'項次': '3', '病床名稱': '精神慢性一般病床', '病床數': '100'}, {'項次': '4', '病床名稱': '血液透析床', '病床數': '84'}, {'項次': '5', '病床名稱': '安寧病床', '病床數': '8'}, {'項次': '6', '病床名稱': '慢性呼吸照護病床', '病床數': '63'}, {'項次': '7', '病床名稱': '精神科日間照護', '病床數': '24'}, {'項次': '8', '病床名稱': '(門診)診療室', '病床數': '15'}",24,3,0,5,0,108,14,1,2,0,13,6,2,0,1,7,9,0,2,1,,,,,,,,,,
5,617060018.0,榮民醫院,臺中市,臺中榮民總醫院,臺中市西屯區臺灣大道4段1650號,是,是,是,是,本院,綜合醫院,04 23592525,陳適安,否,是,否,"家庭醫學科, 內科, 外科, 兒科, 婦產科, 骨科, 神經科, 神經外科, 泌尿科, 耳鼻喉科, 眼科, 皮膚科, 精神科, 復健科, 麻醉科, 放射診斷科, 放射腫瘤科, 解剖病理科, 臨床病理科, 核子醫學科, 急診醫學科, 整形外科, 職業醫學科, 西醫一般科, 牙醫一般科, 牙髓病科, 牙周病科, 兒童牙科, 齒顎矯正科, 中醫一般科","{'項次': '1', '病床名稱': '急性一般病床', '病床數': '975'}, {'項次': '2', '病床名稱': '精神急性一般病床', '病床數': '70'}, {'項次': '3', '病床名稱': '正壓隔離病床', '病床數': '14'}, {'項次': '4', '病床名稱': '負壓隔離病床', '病床數': '19'}, {'項次': '5', '病床名稱': '加護病床', '病床數': '138'}, {'項次': '6', '病床名稱': '急診觀察床', '病床數': '80'}, {'項次': '7', '病床名稱': '其它觀察病床', '病床數': '14'}, {'項次': '8', '病床名稱': '嬰兒病床', '病床數': '24'}, {'項次': '9', '病床名稱': '手術恢復床', '病床數': '36'}, {'項次': '10', '病床名稱': '嬰兒床', '病床數': '25'}, {'項次': '11', '病床名稱': '血液透析床', '病床數': '60'}, {'項次': '12', '病床名稱': '安寧病床', '病床數': '18'}, {'項次': '13', '病床名稱': '亞急性呼吸照護病床', '病床數': '12'}, {'項次': '14', '病床名稱': '燒傷加護病床', '病床數': '8'}, {'項次': '15', '病床名稱': '骨髓移植病床', '病床數': '4'}, {'項次': '16', '病床名稱': '手術台', '病床數': '42'}, {'項次': '17', '病床名稱': '產台', '病床數': '2'}, {'項次': '18', '病床名稱': '精神科日間照護', '病床數': '90'}, {'項次': '19', '病床名稱': '(門診)診療室', '病床數': '194'}, {'項次': '20', '病床名稱': '牙醫治療台', '病床數': '63'}, {'項次': '21', '病床名稱': '整合醫學急診後送病床', '病床數': '125'}",866,15,43,126,0,2216,14,0,193,1,24,0,151,0,4,10,6,4,29,22,醫學中心,1694377.0,60392.0,55347.0,7.0,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,1,1,100%
6,717070516.0,公立機關(構)附設醫院,臺中市,法務部矯正署臺中監獄附設培德醫院,臺中市南屯區培德路九號,否,否,否,否,本院,醫院,04-23814169,林於錦,否,否,否,"內科, 外科, 精神科, 牙醫一般科","{'項次': '1', '病床名稱': '急性一般病床', '病床數': '68'}, {'項次': '2', '病床名稱': '手術恢復床', '病床數': '2'}, {'項次': '3', '病床名稱': '血液透析床', '病床數': '20'}, {'項次': '4', '病床名稱': '手術台', '病床數': '1'}, {'項次': '5', '病床名稱': '(門診)診療室', '病床數': '9'}, {'項次': '6', '病床名稱': '牙醫治療台', '病床數': '3'}",9,0,1,7,0,42,0,0,3,0,0,0,2,0,0,1,0,0,0,1,地區醫院,78402.0,1018.0,0.0,8.0,醫院評鑑合格（地區醫院）,,21項,17項,100%
7,903150014.0,醫療社團法人醫院,臺中市,林新醫療社團法人烏日林新醫院,臺中市烏日區榮和路168號,是,是,是,是,本院,綜合醫院,04-23388766,林明輝,否,否,否,"家庭醫學科, 內科, 外科, 兒科, 婦產科, 骨科, 神經科, 神經外科, 泌尿科, 耳鼻喉科, 眼科, 精神科, 復健科, 麻醉科, 放射診斷科, 放射腫瘤科, 急診醫學科, 牙醫一般科, 中醫一般科","{'項次': '1', '病床名稱': '急性一般病床', '病床數': '300'}, {'項次': '2', '病床名稱': '負壓隔離病床', '病床數': '1'}, {'項次': '3', '病床名稱': '加護病床', '病床數': '20'}, {'項次': '4', '病床名稱': '急診觀察床', '病床數': '5'}, {'項次': '5', '病床名稱': '嬰兒病床', '病床數': '12'}, {'項次': '6', '病床名稱': '手術恢復床', '病床數': '4'}, {'項次': '7', '病床名稱': '嬰兒床', '病床數': '20'}, {'項次': '8', '病床名稱': '血液透析床', '病床數': '30'}, {'項次': '9', '病床名稱': '慢性呼吸照護病床', '病床數': '30'}, {'項次': '10', '病床名稱': '手術台', '病床數': '4'}, {'項次': '11', '病床名稱': '產台', '病床數': '1'}, {'項次': '12', '病床名稱': '(門診)診療室', '病床數': '10'}, {'項次': '13', '病床名稱': '牙醫治療台', '病床數': '6'}",59,1,2,20,0,285,8,0,17,0,15,0,17,0,0,2,4,2,7,5,地區醫院,231591.0,8144.0,16396.0,9.0,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,13,13,100%
8,917050027.0,醫療社團法人醫院,臺中市,維新醫療社團法人台中維新醫院,臺中市北區育德路185、187號,否,是,否,否,本院,精神科醫院,04-22038585,許景琦,否,否,否,"神經科, 精神科","{'項次': '1', '病床名稱': '精神急性一般病床', '病床數': '40'}, {'項次': '2', '病床名稱': '精神慢性一般病床', '病床數': '160'}, {'項次': '3', '病床名稱': '急診觀察床', '病床數': '0'}, {'項次': '4', '病床名稱': '精神科日間照護', '病床數': '30'}, {'項次': '5', '病床名稱': '(門診)診療室', '病床數': '4'}",6,0,0,6,0,41,4,0,0,0,0,0,0,0,0,4,0,0,0,1,,,,,,,,,,
9,917070029.0,醫療社團法人醫院,臺中市,林新醫療社團法人林新醫院,臺中市南屯區惠中路3段36號,是,是,是,是,本院,綜合醫院,04-22586688,林仁卿,否,是,否,"家庭醫學科, 內科, 外科, 兒科, 婦產科, 骨科, 神經科, 神經外科, 泌尿科, 耳鼻喉科, 眼科, 皮膚科, 精神科, 復健科, 麻醉科, 放射診斷科, 放射腫瘤科, 解剖病理科, 核子醫學科, 急診醫學科, 整形外科, 牙醫一般科","{'項次': '1', '病床名稱': '急性一般病床', '病床數': '412'}, {'項次': '2', '病床名稱': '慢性一般病床', '病床數': '0'}, {'項次': '3', '病床名稱': '正壓隔離病床', '病床數': '2'}, {'項次': '4', '病床名稱': '負壓隔離病床', '病床數': '1'}, {'項次': '5', '病床名稱': '加護病床', '病床數': '35'}, {'項次': '6', '病床名稱': '急診觀察床', '病床數': '18'}, {'項次': '7', '病床名稱': '其它觀察病床', '病床數': '2'}, {'項次': '8', '病床名稱': '嬰兒病床', '病床數': '17'}, {'項次': '9', '病床名稱': '手術恢復床', '病床數': '6'}, {'項次': '10', '病床名稱': '嬰兒床', '病床數': '33'}, {'項次': '11', '病床名稱': '血液透析床', '病床數': '45'}, {'項次': '12', '病床名稱': '亞急性呼吸照護病床', '病床數': '10'}, {'項次': '13', '病床名稱': '慢性呼吸照護病床', '病床數': '60'}, {'項次': '14', '病床名稱': '手術台', '病床數': '7'}, {'項次': '15', '病床名稱': '產台', '病床數': '2'}, {'項次': '16', '病床名稱': '(門診)診療室', '病床數': '20'}, {'項次': '17', '病床名稱': '牙醫治療台', '病床數': '6'}",90,0,3,27,0,518,9,1,35,0,18,1,30,0,1,2,5,2,11,7,區域醫院,381302.0,17281.0,31917.0,6.0,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,10,10,100%
